,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Zz,,Value,Zz,,Value,Zz,,Value,zZ,,Value,
1,1H12.0-,,,22,Ti,5.04,44,Ru,1.84,66,Dy,1.1,a
2,,He,11.0,23,,4.00,45,,1.12,67,Ho,(0.26),
3,,Li,1.16,24,Cr,5.67,46,Pd,1.69,68,Er,0.93,
4,,Be,1.15,25,Mn,5.39,47,Ag,(0.94),69,Tm,(0.00),
5,,B,(2.6),26,Fe,7.51,48,Cd,1.86,70,Yb,1.08,
6,,Cc,8.55,27,Co,4.92,49,In,(1.66),7),Lu,(0.76),
7,,N,7.97,28,Ni,6.25,50,Sn,2.0,72,Hf,0.88,
8,,O,8.87,29,Cu,4.21,Si,Sb,1.0,73,Ta,(1.11),
9,,F,4.56,30,Zn,4.60,52,Te,,74,Ww,,
10,10,Ne,8.07,31,Ga,2.88,53,,,75,Re,1.45,
11,11,Na,6.33,32,Ge,3.41,54,xe,,76,Os,,
12,12,Mg,7.58,33,AS,,55,Cs,2.13,77,{r,1.35,
13,13,Al,6.47,34,Se,,56,Ba,,78,Pt,1.8,
14,14,Si,7.55,35,Br,,57,La,1.22,79,Au,(1.01),
15,15,P,5.45,36,Kr,2.60,58,Ce,1.55,80,Hg,(0.9),
16,16,Ss,7.221,37,Rb,,59,Pr,0.71,81,Tl,,
17,17,Cl,3.5,38,Sr,2.90,60,Nd,1.50,82,Pb,1.95,
18,18,Ar,6.60,39,,2.24,62,Sm,1.00,83,Bi,027,
19,19,K,5.12,40,ZI,2.60,63,Eu,0.51,90,Th,,
20,20,Ca,6.36,41,,1.42,64,Gd,1.12,92.U,,(--0.47),
21,21,Sc,3.20,42,Mo,1.92,65,Tb,(-0.1),,,,
